keyword,total_count,pass_count,pass_rate,bayesian_pass_rate,lift,p_value,is_significant,frequency
监督,189,19,0.10052910052910052,0.055237172063975964,1.8305230700753088,0.010058816033980606,True,0.000704175499908718
西安市,244,22,0.09016393442622951,0.05523576737471339,1.641784927819917,0.023218032253151957,True,0.0009090942961784507
电梯,390,30,0.07692307692307693,0.05523340151818405,1.4006836447134956,0.07378295544797754,False,0.0014530605553671957
工程技术,155,17,0.10967741935483871,0.05523265505706633,1.9971037773011775,0.006846758069800581,True,0.000577498425851065
制造,717,48,0.06694560669456066,0.05523117622083761,1.2190050129724144,0.16273833744206306,False,0.0026713959440981525
电力,628,43,0.06847133757961783,0.05522810262160558,1.2467868748325541,0.13621007770807575,False,0.002339800073770767
灵活,212,20,0.09433962264150944,0.055227174431370804,1.7178195642712681,0.021890735320697196,True,0.0007898688147124244
工商户,846,55,0.06501182033096926,0.05522666772617108,1.1837929148583324,0.19903202121499508,False,0.003152023666258071
事务,122,15,0.12295081967213115,0.05522607828083332,2.238797628845341,0.003928107235442591,True,0.00045454714808922537
附属,231,21,0.09090909090909091,0.05522535268498646,1.6553533982977675,0.028400180431787003,True,0.0008606589443328776
制品,358,28,0.0782122905027933,0.05522485191871431,1.4241587895969618,0.062184887388362316,False,0.0013338350739011695
咨询中心,33,10,0.30303030303030304,0.05522291974442654,5.517844660992559,7.156162243760744e-06,True,0.00012295127776183965
分行,196,19,0.09693877551020408,0.05522287033167011,1.7651472461440478,0.017067393081193403,True,0.0007302560739794112
塑料厂,53,11,0.20754716981132076,0.055219035507513135,3.77920304139679,0.00012158399098001191,True,0.0001974672036781061
生活,309,25,0.08090614886731391,0.05521402340426315,1.4732109531776247,0.059204687329729076,False,0.0011512710554063166
苏州市,239,21,0.08786610878661087,0.055209037294720244,1.599944079526294,0.032249799093115344,True,0.0008904653146993842
诊所,150,16,0.10666666666666667,0.055205836257266605,1.9422813206693805,0.010655991429694027,True,0.0005588694443719984
供水,115,14,0.12173913043478261,0.05520332110302765,2.216734115981358,0.005822704759133469,True,0.0004284665740185321
温州,423,31,0.07328605200945626,0.05520322489537063,1.334457467658484,0.1080220784486147,False,0.0015760118331290356
福州,461,33,0.07158351409978309,0.055199645432934444,1.303456146598893,0.1240374327736947,False,0.0017175920923699418
村镇,81,12,0.14814814814814814,0.05519874892741327,2.6976129453741393,0.0015394673003624026,True,0.00030178949996087913
盐城市,155,16,0.1032258064516129,0.055195611022822826,1.8796270845187553,0.01319079747046688,True,0.000577498425851065
检测,537,37,0.06890130353817504,0.05519251631850209,1.2546160765497045,0.15492731965613105,False,0.0020007526108517543
天安,48,10,0.20833333333333334,0.055192112437192936,3.793518204432384,0.0002372797614183615,True,0.00017883822219903948
扬州,358,27,0.07541899441340782,0.055188084374161235,1.3732959756827847,0.10256257803733974,False,0.0013338350739011695
嘉兴市,141,15,0.10638297872340426,0.05518718797371473,1.9371156788590895,0.014189098765544996,True,0.0005253372777096785
人民政府,685,45,0.06569343065693431,0.05518639486428652,1.1962042805217443,0.20841608838231276,False,0.002552170462632126
就业者,124,14,0.11290322580645161,0.055184895360092565,2.0558421236923885,0.009258889408887147,True,0.000461998740680852
陕西,1393,84,0.06030150753768844,0.05518384579692486,1.098023359674901,0.3773599433883955,False,0.005190034240067958
营销策划,197,18,0.09137055837563451,0.055183841342757486,1.6637562074261825,0.03944053893477659,True,0.0007339818702752246
控股集团,179,17,0.09497206703910614,0.05518359370662758,1.729335673082025,0.03040546230364375,True,0.0006669175369505847
自然资源,161,16,0.09937888198757763,0.05518334574032717,1.8095788701888638,0.022261375510069428,True,0.000599853203625945
装潢,181,17,0.09392265193370165,0.055179509194734445,1.7102269916115056,0.03164377269690373,True,0.0006743691295422115
中信,73,11,0.1506849315068493,0.055178000141196226,2.7438049478634228,0.0020699689134156827,True,0.00027198312959437256
综合,346,26,0.07514450867052024,0.05517566091245829,1.368297895702779,0.09862431549463523,False,0.0012891255183514097
医药,637,42,0.06593406593406594,0.05517361856686889,1.2005859811829962,0.222724309552438,False,0.0023733322404330868
太原市,130,14,0.1076923076923077,0.05517261836343479,1.9609571025988939,0.0179314868876407,True,0.00048435351845573193
银河,40,9,0.225,0.05517133620288766,4.096999660786975,0.0002617066906228715,True,0.0001490318518325329
